Geneid	Healthy_1.bam	Healthy_2.bam	Healthy_3.bam	DMD_1.bam	DMD_2.bam	DMD_3.bam
ENSG00000121410.12	120	118	125	315	298	322
ENSG00000155657.13	95	102	98	248	260	251
ENSG00000171862.11	310	299	320	145	152	149
ENSG00000130203.10	410	395	402	180	175	169
ENSG00000141736.9	88	92	85	220	214	228
ENSG00000148773.8	150	145	160	148	151	154
ENSG00000135446.15	60	65	63	170	176	181
ENSG00000136997.14	230	240	225	228	235	231
ENSG00000165029.7	510	495	505	515	520	510
ENSG00000111640.14	75	73	79	210	205	219
ENSG00000163631.16	260	255	270	120	118	123
ENSG00000171885.10	140	138	144	325	332	318
